,Unnamed: 0,StockName,AvgGain
80,80,UA,0.059777566914830674
469,469,SLB,0.05878686141736916
194,194,FTI,0.05826935428882193
285,285,PRGO,0.05625731919027077
434,434,NOV,0.05548409814814169
215,215,KMI,0.0501171177214981
476,476,OXY,0.045972259657410135
131,131,VTRS,0.039267682517309915
163,163,XOM,0.03833932174565624
394,394,FOX,0.035966841513184536
428,428,KHC,0.034444274472813764
62,62,VNO,0.034042858761360296
35,35,BEN,0.032656586925672436
78,78,MRO,0.02680013143572814
240,240,FOXA,0.026107342379582017
419,419,NLSN,0.02591918339001193
34,34,AAL,0.02572188876808859
409,409,DVN,0.025657616625829282
79,79,GE,0.02521844480790316
199,199,BKR,0.025128205499491404
200,200,WBA,0.02478626918893638
177,177,DISH,0.02296109262489456
29,29,IVZ,0.0224004794931768
32,32,WFC,0.019516005566570373
65,65,SLG,0.019165439783184017
